공고번호,날짜,기초가,예가,투찰가
9251322,2025.09.22,627620,631815,627550
9251141,2025.09.22,29478795,29857190,25497683
9251230,2025.09.19,818550000,824805610,811998000
9251185,2025.09.19,11050000,11076266,9751000
9251183,2025.09.19,8328000,8353453,8162000
9251163,2025.09.19,5500000,5543738,5500000
9251160,2025.09.19,13560000,13597917,13552000
9251114,2025.09.19,32372000,32704650,28160000
9251097,2025.09.19,1400152,1401072,1139600
9251067,2025.09.19,1443204,1437845,1162800
9251068,2025.09.18,38128892,38163981,30790066
9251054,2025.09.17,67700000,68114569,67361800
9251125,2025.09.17,10888000,10925334,10799800
9251076,2025.09.17,41700000,41720184,35565000
9250765,2025.09.16,623533000,622732461,519300000
9251045,2025.09.16,4590,4591,4298
9251059,2025.09.16,148240990,149106242,148240990
9251086,2025.09.16,11956000,11995720,11500000
9250995,2025.09.16,1991410000,2005347477,1983410000
9251033,2025.09.15,96941000,96901586,95900000
9250996,2025.09.12,88324500,88954519,72000000
9251027,2025.09.12,12557380,12509367,12400000
9250990,2025.09.12,30290000,30417265,27648500
9250860,2025.09.12,443250000,447317823,395427340
9250971,2025.09.12,79680000,79211869,79000000
9250988,2025.09.11,122447000,123763776,101630000
9250994,2025.09.11,32717430,32655996,32000000
9251021,2025.09.11,6300000,6310293,5555970
9251099,2025.09.11,24392000,24215140,23870000
9250945,2025.09.10,28000000,28049837,22680000
9250964,2025.09.10,14100000,14113779,14100000
9251005,2025.09.10,22080000,22215723,19982400
9251104,2025.09.10,485800000,484067668,479484500
9250889,2025.09.09,17160000,17137093,13814000
9250857,2025.09.09,49500000,49905095,48510000
9250935,2025.09.09,17745008,17679282,15560400
9250978,2025.09.09,169148000,169128738,166351700
9250887,2025.09.08,75178990,75592456,74052000
9250933,2025.09.08,49849118,50239314,49104000
9250900,2025.09.05,128150000,128834976,103711282
9250810,2025.09.05,25900000,25856598,20990000
9250897,2025.09.05,129467250,130716017,129467250
9250886,2025.09.05,51356760,51564920,41596407
9250867,2025.09.05,7318730,7371345,5935000
9250846,2025.09.05,9120870,9064221,7355000
9250784,2025.09.05,3645000000,3615669237,2970180000
9250809,2025.09.05,100254000,100218074,80699000
9250673,2025.09.05,9109,9157,8029
9250906,2025.09.05,20800000,20757005,19610000
9250904,2025.09.05,26900000,26828197,21645000
9250863,2025.09.04,32254400,32163661,31900000
9250838,2025.09.04,73000000,73149903,71467000
9250975,2025.09.04,97200,97102,85000
9250921,2025.09.03,1626900,1639184,1578060
9250828,2025.09.03,98700,98289,79200
9250817,2025.09.03,23990000,23953533,19379400
9250898,2025.09.03,452760000,451038313,363720000
9250892,2025.09.03,11880000,11878532,11759000
9250830,2025.09.03,33751600,33737918,27236000
9250850,2025.09.02,117600000,118031293,117600000
9250824,2025.09.02,40410000,40359292,32527000
9250822,2025.09.02,35500000,35325680,28639625
9250819,2025.09.02,14200000,14161523,13490000
9250813,2025.09.02,50600000,50804665,49940000
9250778,2025.09.02,192000000,193971385,160882560
9250782,2025.09.02,4789550,4798506,3863000
9250734,2025.09.01,2102981,2107437,1696750
9250773,2025.08.29,50026800,49655905,40263000
9250849,2025.08.29,89496000,89381498,89000000
9250793,2025.08.29,28041595,28479422,26640000
9250758,2025.08.29,130000000,129093362,120729733
9250594,2025.08.29,39767000,39692327,29000000
9250745,2025.08.28,45720000,45797397,36888500
9250742,2025.08.28,44450000,44269299,39120000
9250763,2025.08.28,22638735,22512841,20375000
9250743,2025.08.28,24795000,24657377,19900000
9250741,2025.08.28,39232000,39026715,31530750
9250732,2025.08.28,139149000,139661429,122950000
9250729,2025.08.28,1070736,1079050,870500
9250720,2025.08.28,46500000,46924621,40455000
9250680,2025.08.28,122300,121798,98790
9250360,2025.08.28,204610000,203599266,201300000
9250595,2025.08.27,7610584000,7637566083,7230000000
9250668,2025.08.27,20500000,20417628,20100000
9250694,2025.08.27,26507637,26533308,21470000
9250728,2025.08.27,44437360,44592397,35947600
9250747,2025.08.27,14886910,14919116,13131740
9250678,2025.08.26,938240,935436,855000
9250829,2025.08.26,616200000,616475438,610000000
9250689,2025.08.26,29836520,30186593,29292004
9250684,2025.08.26,103860000,103743192,85684000
9250726,2025.08.26,19198840,19412749,17643000
9250639,2025.08.26,25680000,25645049,21110700
9250596,2025.08.26,1013000000,1005510205,822749850
9250667,2025.08.25,17886190,17963705,15859000
9250647,2025.08.22,1627720,1627449,1311356
9250652,2025.08.22,148746000,149878839,137995000
9250671,2025.08.22,63662,64107,61753
9250711,2025.08.22,13425000,13427295,13350000
9250638,2025.08.21,55800000,55712792,49140000
9250662,2025.08.21,8200000,8241478,8199400
9250657,2025.08.21,9265000,9270063,8235650
9250651,2025.08.21,38501200,38620004,37654100
9250559,2025.08.21,13200,13148,11880
9250624,2025.08.21,48620000,49152200,44220000
9250620,2025.08.21,20000000,20050215,19635000
9250576,2025.08.20,32800000,32876031,26469600
9250404,2025.08.20,641126000,638448485,586630000
9250575,2025.08.20,47554000,47452862,38228660
9250614,2025.08.20,48000000,48051982,47000000
9250577,2025.08.20,47520000,47670863,38384280
9250611,2025.08.20,125000,125818,119550
9250597,2025.08.20,33150000,33260092,26952000
9250615,2025.08.20,54200000,54426279,43864000
9250637,2025.08.20,7920000,7959334,7040880
9250696,2025.08.20,57054400,57006599,55936100
9250751,2025.08.20,3447000,3447216,3400000
9250752,2025.08.20,7198000000,7242127669,7104000200
9250583,2025.08.19,64800000,64969412,53120000
9250606,2025.08.19,27615000,27713933,27335000
9250605,2025.08.19,16700000,16799612,14796200
9250602,2025.08.19,44000000,43818287,35377555
9250590,2025.08.19,25174000,25206694,20309124
9250586,2025.08.19,48000000,47601118,45840000
9250585,2025.08.19,20675000,20511093,17615100
9250584,2025.08.19,47800000,47884715,42542000
9250613,2025.08.19,13200000,13252182,13068000
9250582,2025.08.19,27300000,27250598,23204900
9250566,2025.08.19,66696040,66497042,53688330
9250560,2025.08.19,45370000,45415470,36618000
9250542,2025.08.19,100356760,100277336,80732810
9250529,2025.08.19,5043000,5071534,4950000
9250376,2025.08.19,6540000,6573209,5357200
9250581,2025.08.19,45897000,45730151,37071000
9250459,2025.08.14,105600,106161,85462
9250479,2025.08.14,15288000,15316190,15246000
9250558,2025.08.14,18070000,18109593,17900000
9250427,2025.08.14,137332,137332,137252
9250561,2025.08.14,14290000,14325859,14278000
9250336,2025.08.14,4304000,4320331,2750000
9250486,2025.08.13,329300150,329891936,321917618
9250491,2025.08.13,49247460,49351292,39742200
9250464,2025.08.12,29667,29597,23830
9250445,2025.08.12,36600000,36750547,29634000
9250449,2025.08.12,70188426,70416866,56719000
9250454,2025.08.12,38633628,38920585,35890000
9250461,2025.08.12,38000000,38145579,30893940
9250462,2025.08.12,42805000,43265966,40879300
9250493,2025.08.12,233000000,231192692,221100000
9250473,2025.08.11,40940000,40735547,33193540
9250537,2025.08.11,150900,152207,150920
9250547,2025.08.11,204000000,203915328,199920000
9250367,2025.08.07,17112000,17230309,17110000
9250406,2025.08.07,441315000,445847351,440069400
9250443,2025.08.07,194700000,196426848,185939000
9250494,2025.08.07,121300000,121676281,119000000
9250495,2025.08.07,482000000,483013756,480000000
9250425,2025.08.07,46800,46896,37925
9250329,2025.08.06,24011710,23876482,20481988
9250340,2025.08.06,46581216,46948264,43119600
9250463,2025.08.05,29790000,29679375,27921400
9250294,2025.08.05,11920740,11775597,10496700
9250331,2025.08.01,50955520,51564584,50500000
9250059,2025.08.01,5840400,5895279,4953660
9250315,2025.08.01,2613,2603,2095
9250239,2025.07.31,39156000,38838467,31441900
9250240,2025.07.31,292200,293017,240000
9250295,2025.07.31,17380500,17409927,15322780
9250334,2025.07.31,8936000,9007617,8900000
9250343,2025.07.31,11868440,11858772,10438300
9250283,2025.07.30,239350,238454,210000
9250281,2025.07.30,51390876,51716741,49078500
9250140,2025.07.29,18186000,18248544,14702587
9250233,2025.07.29,21900000,21861804,18200000
9250234,2025.07.29,109513300,109823761,96652700
9250257,2025.07.29,450000000,454203043,396110000
9250259,2025.07.29,105557760,105176687,85581700
9250268,2025.07.29,170489000,171168888,150214800
9250347,2025.07.28,296400,298937,290000
9250252,2025.07.25,5345505,5378149,5340000
9250307,2025.07.25,32134400,32197348,31975000
9250305,2025.07.25,26000,25954,25520
9250304,2025.07.25,125850,125175,123500
9250180,2025.07.25,36664423,37066219,32630000
9250245,2025.07.25,19201710,19280456,16967904
9250204,2025.07.25,17870,17950,17625
9250154,2025.07.24,24950000,24938589,23452000
9250242,2025.07.24,12150000,12161496,10719930
